No,Project Name,Domestic or foriegn financier,Financier's countries,Financier's name,Investing Amount/ Share (mio USD),Reference
38,Thái BÌnh I,foreign,Japan,Citibank Japan,1079.5,http://thanglongtce.vn/en/the-commencement-of-127-billions-thai-binh-thermal-power-plant/
39,Thái BÌnh II,domestic,Vietnam,Agribank,22.12,
39,Thái BÌnh II,domestic,Vietnam,VN Eximbank,270,
39,Thái BÌnh II,domestic,Vietnam,BIDV,292,
39,Thái BÌnh II,foreign,Singapore,OCBC,27.89,
39,Thái BÌnh II,foreign,England,HSBC,27.89,
39,Thái BÌnh II,foreign,France,BNP Paribas,46.56,
39,Thái BÌnh II,foreign,Japan,Societe Generale (Tokyo Branch),46.56,
39,Thái BÌnh II,foreign,Japan,Mizuho Corporate Bank,46.56,
39,Thái BÌnh II,foreign,Japan,JICA,85,
39,Thái BÌnh II,foreign,China,Bank of China,27.89,
39,Thái BÌnh II,foreign,China,Eximbank,330,
40,Than Vê Đan,,,,,
41,Thăng Long,,,,,http://www.vir.com.vn/northern-first-private-thermal-power-plant-gets-underway.html
42,Vĩnh Tân I,foreign,China,ICBC,280,
42,Vĩnh Tân I,foreign,China,China Construction Bank (CCB),280,
42,Vĩnh Tân I,foreign,China,China Bank of Communication,280,
42,Vĩnh Tân I,foreign,China,Bank of China,280,
42,Vĩnh Tân I,foreign,Japan,JBIC,280,
43,Vĩnh Tân IV,domestic,vietnam,BIDV,284,
43,Vĩnh Tân IV,domestic,vietnam,VDB,284.35,
43,Vĩnh Tân IV,foreign,Korea,Korea Export-Import Bank,455,
43,Vĩnh Tân IV,foreign,China,Eximbank,300,
43,Vĩnh Tân IV,foreign,Japan,JICA,202.9,
43,Vĩnh Tân IV,foreign,France,BNP Paribas,135.3,
44,An Khánh - Bắc Giang,,,,,
45,Cẩm Phả III,,,,,
46,Duyên Hải II,,,,,http://tinnhanhchungkhoan.vn/dau-tu/cap-phep-du-an-nhiet-dien-duyen-hai-2-von-24-ty-usd-131170.html
47,"Hải Hà CHP (#1,2,3,4)",,,,,
48,"Hải Phòng III (#1,2)",,,,,http://www.sourcewatch.org/index.php/Hai_Phong_Thermal_Power_Station
49,Long Phú II,,,,,http://nangluongvietnam.vn/news/en/investment-activity/tata-power-scouts-for-vietnamese-partner-for-long-phu-2-thermal-power-project.html
50,Long Phú III,,,,,https://www.vietmaz.com/2015/03/indian-firm-to-build-mekong-power-plant/
51,Nam Định I,,,,,http://vov.vn/kinh-te/tren-2-ty-usd-dau-tu-nha-may-nhiet-dien-nam-dinh-1-470598.vov
52,Quảng Trị,,,,,http://petrotimes.vn/hoan-thanh-bao-cao-dau-tu-nhiet-dien-quang-tri-147277.html
53,Sông Hậu II,,,,,http://quochoi.org/bong-ma-trung-quoc-trong-du-an-nhiet-dien-song-hau-2-ky-1.html
54,Vân Phong I,,,,,"http://baokhanhhoa.com.vn/kinh-te/201504/du-an-nhiet-dien-van-phong-1-ban-giao-mat-bang-trong-nam-2015-2382242/
 http://baocongthuong.com.vn/jbic-quan-tam-tien-do-3-du-an-nhiet-dien-bot-tai-viet-nam.html"
55,Vĩnh Tân III,,,,,http://www.baobinhthuan.com.vn/kinh-te/ky-ket-hop-dong-xay-dung-nha-may-nhiet-dien-vinh-tan-3-tri-gia-hon-1144-ty-usd-61213.html
56,Vĩnh Tân IV MR,,,,,http://www.genco3.com/d4/news/Le-khoi-cong-xay-dung-Nha-may-Nhiet-dien-Vinh-Tan-4-Mo-rong-1-317.aspx
57,Vũng Áng II,,,,,http://baocongthuong.com.vn/jbic-quan-tam-tien-do-3-du-an-nhiet-dien-bot-tai-viet-nam.html
58,"Vũng Áng III (#1,2)",,,,,http://tuoitre.vn/tin/kinh-te/20141015/samsung-chuan-bi-dau-tu-them-25-ti-usd-xay-nhiet-dien-o-ha-tinh/658597.html
59,Bạc Liêu I,,,,,
60,Long An I,,,,,http://baodautu.vn/daewoo-ec-muon-dau-tu-du-an-nhiet-dien-d25714.html
61,Long An II,,,,,Talk Vietnam
62,Quảng Ninh III,,,,,http://qtv.vn/channel/5986/201503/thong-nhat-xay-dung-nha-may-nhiet-dien-quang-ninh-iii-tai-dam-ha-2399515/
63,Quảng Trạch II,,,,,http://www.baoquangbinh.vn/tin-tuc-su-kien/201501/ky-ket-dau-tu-du-an-nha-may-nhiet-dien-quang-trach-2-2122297/
64,Quỳnh Lập II,,,,,http://truyenhinhnghean.vn/kinh-te/201510/nha-may-nhiet-dien-quynh-lap-2-se-do-cong-ty-posco-enegy-dau-tu-xay-dung-645164/
65,Tân Phước I,,,,,http://www.thtg.vn/lanh-dao-tinh-tiep-tong-cong-ty-phat-dien-3/
66,Tân Phước II,,,,,
67,"Vũng Áng III (#3,4)",,,,,
